trade_date,trade_time,open,high,low,close,volume,year,week,prev_week_high,prev_week_low,rsi,distance_to_prev_week_high_pct,distance_to_prev_week_low_pct,signal,forward_1,forward_3,forward_6
2013-11-11,16:00:00,1286.95,1287.66,1281.45,1282.74,14758,2013,46,1326.34,1281.07,13.279421153437283,-3.287241582098098,0.13035977737360743,BULLISH,0.0631460779269334,-0.33132201381417903,-0.249465986871856
2013-11-12,00:00:00,1283.59,1283.8,1281.88,1282.32,1878,2013,46,1326.34,1281.07,16.682442025556327,-3.3189076707329934,0.09757468366287557,BULLISH,-0.29867739721753755,-0.21133570403643684,-1.1596169442884687
2013-11-12,08:00:00,1278.48,1284.03,1276.57,1281.17,8949,2013,46,1326.34,1281.07,15.442790924616048,-3.405612437233277,0.0078059746930406945,BULLISH,-0.12176370036764618,-1.1528524707884185,-0.657211767368895
2013-11-12,12:00:00,1281.17,1283.18,1277.27,1279.61,12775,2013,46,1326.34,1281.07,15.017793594306298,-3.5232293378771673,-0.11396723051824151,BULLISH,-0.005470416767603906,-0.9502895413446172,-0.6455091785778473
2013-11-12,16:00:00,1279.75,1285.27,1278.56,1279.54,19273,2013,46,1326.34,1281.07,13.870890328773612,-3.5285070193163106,-0.11943141280335756,BULLISH,-1.026931553527039,-0.7025962455257366,-0.31573846851211873
2014-01-06,04:00:00,1234.15,1246.23,1232.88,1240.97,12638,2014,2,1240.14,1178.82,82.24112056028007,0.06692792749205148,5.272221373916297,BEARISH,-0.08219376777842992,0.05560166643835505,-0.0032232850109159463
2014-01-13,00:00:00,1250.1,1250.25,1247.34,1248.82,1581,2014,3,1248.84,1214.21,91.7903066271012,-0.0016014861791728173,2.850413025753362,BEARISH,0.10009448919780274,-0.21380182892649424,0.4203968546307715
2014-01-13,04:00:00,1248.52,1254.82,1247.46,1250.07,8412,2014,3,1248.84,1214.21,92.79106858054165,0.0984914000192193,2.9533606213093204,BEARISH,-0.07199596822576844,-0.10479413152863004,0.10399417632612211
2014-01-13,08:00:00,1250.25,1252.16,1247.66,1249.17,8006,2014,3,1248.84,1214.21,89.2333901192502,0.0264245219563879,2.8792383525090415,BEARISH,-0.2417605289912487,0.315409431862743,0.30660358478028826
2014-01-13,16:00:00,1246.15,1249.08,1243.57,1248.76,15130,2014,3,1248.84,1214.21,81.76418176418206,-0.006405944716691269,2.8454715411666807,BEARISH,0.34834555879431667,0.20900733527658638,0.3395368205259625
2014-02-11,00:00:00,1275.17,1275.2,1272.98,1273.83,3512,2014,7,1274.27,1240.76,85.88235294117632,-0.034529573795196826,2.665301911731514,BEARISH,0.7630531546595721,0.8588273160468866,1.0189742744322257
2014-02-24,12:00:00,1329.12,1336.87,1328.17,1332.67,11380,2014,9,1331.99,1307.28,81.00197016605684,0.05105143432008226,1.9422005997185072,BEARISH,0.30315081753171924,0.22060975335227978,0.13506719592997174
