trade_date,trade_time,open,high,low,close,volume,prev_daily_high,prev_daily_low,rsi,distance_to_low_pct,distance_to_high_pct,signal,forward_1,forward_3,forward_6
2023-12-12,13:00:00,16269.19,16350.19,16204.59,16274.59,10961,16262.94,16062.84,82.02836372303665,1.318260033717574,0.07163526398055724,BEARISH,0.3732812931078448,0.823062209247672,0.8798992785686197
2023-12-13,01:00:00,16410.29,16420.04,16404.29,16408.54,3322,16405.09,16204.59,90.41233237247778,1.2585940156461888,0.021030058353844614,BEARISH,-0.02742474345676093,0.0563730837722308,1.632991113164247
2023-12-13,05:00:00,16408.29,16417.04,16401.29,16404.04,2324,16405.09,16204.59,89.08603523104418,1.2308241060094747,-0.006400452542468664,BEARISH,0.005181650373923404,-0.03200431113311111,1.700495731539308
2023-12-13,09:00:00,16403.04,16425.04,16400.14,16404.89,4603,16405.09,16204.59,95.56071574921458,1.2360695333852894,-0.0012191338176183587,BEARISH,0.07863508990308046,0.9990923438072518,1.5062581949650513
2023-12-13,13:00:00,16405.14,16464.04,16402.39,16417.79,7279,16405.09,16204.59,95.65449926460758,1.315676607677212,0.07741499741848858,BEARISH,-0.11572812175085685,1.575729741944566,1.4362469004658924
2023-12-13,17:00:00,16416.79,16454.29,16383.64,16398.79,9819,16405.09,16204.59,90.96617119425937,1.1984258780999748,-0.03840271525483415,BEARISH,1.036661851270734,1.7330546948890784,0.45948512054851937
2023-12-20,05:00:00,16863.74,16867.74,16848.24,16854.49,2568,16846.44,16730.49,84.99143702319772,0.7411617950221421,0.04778457644465484,BEARISH,-0.3408587266657177,0.03263225407591686,-1.1100899522916574
2024-01-03,13:00:00,16503.24,16509.99,16426.79,16452.24,10128,16880.59,16467.59,8.784010749076174,-0.09321339673867605,-2.5375297901317344,BULLISH,-0.14010250275952035,-0.32305631330445855,-0.8874171541382925
2024-01-04,17:00:00,16307.24,16431.99,16294.24,16354.49,13608,16580.49,16366.84,17.355840839775695,-0.07545744933047775,-1.3630477748245184,BULLISH,-0.3638144631841164,-0.5720141685861148,-0.09508092273130665
2024-01-22,21:00:00,17365.89,17374.89,17327.14,17343.14,6784,17338.54,16987.19,81.08415735932272,2.095402476807528,0.026530492186761657,BEARISH,0.08994910956148762,-0.035460706654030456,0.5693893954612602
2024-02-09,09:00:00,17790.84,17852.74,17790.34,17841.24,5526,17823.54,17719.79,80.73726541554998,0.6853918697682123,0.09930687169889217,BEARISH,0.1754362364947687,0.6521407704845545,0.8113225313935577
2024-02-12,09:00:00,17957.74,17994.24,17955.74,17985.99,4552,17996.94,17780.59,86.77257813849099,1.155192263023901,-0.060843676758366085,BEARISH,-0.061158712976044124,-0.6688539246380261,-1.081953231376211
2024-02-21,17:00:00,17426.49,17477.99,17382.64,17405.74,63238,17735.74,17405.49,19.896113533067464,0.0014363284228137213,-1.86064973888882,BULLISH,1.3871860662057292,2.155036212192061,3.442542517583263
2024-02-23,13:00:00,17975.84,18099.09,17971.09,18036.34,24437,18038.94,17626.64,80.17514987657268,2.3243227296864335,-0.014413263750522732,BEARISH,-0.24395193259829878,-0.659779090436308,-0.48235950309209075
2024-03-04,05:00:00,18333.74,18334.49,18320.24,18328.74,2629,18340.34,17999.74,81.05636431504294,1.827804179393702,-0.06324855482503894,BEARISH,-0.12548598539779604,-0.2714316423278414,-0.9146837153017688
2024-04-16,09:00:00,17711.44,17731.69,17672.19,17692.94,9009,18192.76,17687.09,15.73994867408041,0.033074971631843024,-2.747356640773581,BULLISH,0.29531553263618143,0.2662078772663118,0.48889557077568796
2024-05-06,09:00:00,17900.89,17950.01,17900.89,17948.39,5211,17936.04,17616.09,82.10433910208171,1.8863436778535945,0.06885577864455333,BEARISH,0.3586394099972141,0.7861429353830743,0.7245775247807702
2024-05-07,01:00:00,18083.94,18101.44,18074.44,18086.44,3319,18104.39,17889.64,92.06270813343073,1.1000780339906184,-0.0991472234082492,BEARISH,-0.00829350607416385,0.06148252502981582,0.05777809231667884
2024-05-07,13:00:00,18078.69,18140.69,18056.06,18097.56,7717,18104.39,17889.64,91.24546060920423,1.16223691477303,-0.03772565659488173,BEARISH,-0.05083558225529147,-0.0037021565338194303,-0.22820755947212168
2024-05-07,17:00:00,18098.31,18166.06,18078.08,18088.36,11842,18104.39,17889.64,89.63592634071944,1.1108105026149278,-0.08854206079298356,BEARISH,0.0143186004701374,-0.0059154063718308844,-0.07900108135840327
2024-05-07,21:00:00,18087.11,18112.25,18060.72,18090.95,7133,18104.39,17889.64,81.5378074306637,1.1252881556029148,-0.07423613830677914,BEARISH,0.03283409660630696,-0.008844201106089966,-0.17478352435885888
2024-05-15,01:00:00,18308.2,18328.07,18302.14,18322.81,4736,18336.11,18072.41,84.32428023815285,1.3855374020399132,-0.07253446887043802,BEARISH,-0.03198199402821173,0.34869105775805903,1.6560232846381109
2024-05-16,01:00:00,18593.74,18637.24,18591.62,18626.24,5669,18607.71,18296.37,94.5244430001823,1.8029259355817717,0.09958237741238699,BEARISH,0.008751095229082094,-0.05164756816191899,-0.29394016183620525
2024-05-16,09:00:00,18626.12,18633.49,18609.87,18622.49,7153,18607.71,18296.37,95.16886511210035,1.7824300667290978,0.0794294408070766,BEARISH,-0.031521026457807834,-0.42550700792429796,-0.31558615416091207
2024-05-16,13:00:00,18622.74,18636.37,18574.12,18616.62,9051,18607.71,18296.37,93.94740617762153,1.7503472000183644,0.04788337737421668,BEARISH,0.025944559216451467,-0.24241779657100687,-0.35785228467895347
2024-05-16,17:00:00,18616.87,18671.87,18583.81,18621.45,11636,18607.71,18296.37,93.77463897965593,1.776745879100618,0.07384035972186583,BEARISH,-0.4199458151755138,-0.2694741816561025,-0.5111846821810456
2024-05-22,01:00:00,18713.18,18730.26,18712.8,18728.9,3608,18721.25,18592.28,82.9946593721505,0.7348211193032949,0.04086265607265249,BEARISH,0.0278713645755892,0.06679516682772826,0.5308373689858895
2024-05-22,05:00:00,18729.27,18736.23,18720.72,18734.12,3253,18721.25,18592.28,82.8471948495596,0.7628972885520234,0.06874540962809098,BEARISH,-0.21420808663549384,-0.23603991006782027,0.7650212553351837
2024-05-31,05:00:00,18496.46,18508.96,18468.46,18477.09,6454,18726.24,18483.3,16.999608942188374,-0.03359789647952004,-1.3304859918488785,BULLISH,0.023001457480588124,-1.027109788391997,0.6333789574007532
2024-05-31,09:00:00,18477.34,18513.71,18456.09,18481.34,7928,18726.24,18483.3,18.768906328326054,-0.010604167004805024,-1.3077905655379907,BULLISH,0.048156681279612056,0.24430046739035943,0.7191037013549962
2024-06-06,01:00:00,19032.85,19059.9,19021.6,19052.43,5354,19043.14,18646.12,84.38569246114427,2.179059235916112,0.04878397155091478,BEARISH,-0.0708571032671423,-0.3418461582065963,-0.046923148385789586
2024-06-06,05:00:00,19052.56,19064.52,19035.3,19038.93,4836,19043.14,18646.12,80.36192357800417,2.1066581143959247,-0.022107698625327164,BEARISH,-0.01838338604112731,-0.05882683533161121,0.078470796415548
2024-06-06,17:00:00,18986.05,19059.23,18985.93,19027.73,13236,19043.14,18646.12,90.16697868228744,2.0465919987643573,-0.08092152869747245,BEARISH,-0.007883231473223553,0.1373784471400394,0.25725612040953244
2024-06-06,21:00:00,19027.35,19033.22,18972.6,19026.23,7775,19043.14,18646.12,89.03895505691898,2.0385474297065587,-0.08879838093927711,BEARISH,0.09071686823927828,0.07232121129620549,-0.1976744736082796
2024-06-13,01:00:00,19556.16,19592.9,19550.97,19589.63,4413,19577.75,19199.6,88.2144935972059,2.03144857184526,0.060681130364832615,BEARISH,0.030679497264616017,0.06294146443806292,0.06243099027393352
2024-06-13,05:00:00,19589.76,19608.94,19579.88,19595.64,4093,19577.75,19199.6,88.24545362186305,2.062751307318907,0.09137924429517906,BEARISH,-0.14283789659331345,-0.2827669828594517,0.14722662796419092
2024-06-13,09:00:00,19596.01,19641.32,19554.9,19567.65,7394,19577.75,19199.6,85.91857786821569,1.9169670201462683,-0.05158917648860847,BEARISH,0.1753404215631293,0.056675175608722275,-0.1701277363403417
2024-06-13,21:00:00,19541.11,19609.55,19520.34,19578.74,7680,19577.75,19199.6,88.18836477573456,1.9747286401800197,0.005056760863743795,BEARISH,0.11808727221465211,-0.22667444380997456,0.4341443831421225
2024-07-05,01:00:00,20147.49,20179.86,20143.24,20175.86,4495,20178.99,20135.61,91.92689753581071,0.19989461456593566,-0.01551118267069372,BEARISH,0.11523672349034936,0.5316254177021371,0.9188208086297238
2024-07-05,05:00:00,20175.99,20200.61,20170.86,20199.11,4134,20178.99,20135.61,90.49455046741096,0.31536169006054443,0.09970766624097131,BEARISH,0.030347871762671813,0.9352887330184263,0.7537460808916828
2024-07-08,13:00:00,20379.11,20426.99,20368.36,20407.31,8294,20403.83,20143.24,82.66786914815148,1.3109608980481773,0.017055621420093987,BEARISH,0.10094422047785105,0.36869141498805064,0.5724419337972506
