trade_date,trade_time,open,high,low,close,volume,rsi
2009-04-24,04:00:00,1.31289,1.31616,1.31192,1.31422,6053,80.04246284501049
2009-04-24,08:00:00,1.31421,1.32715,1.31399,1.32435,12624,89.68565815324166
2009-04-24,12:00:00,1.32442,1.32658,1.32056,1.32429,12685,89.24242424242438
2009-04-24,16:00:00,1.32427,1.33002,1.32425,1.32731,14325,92.45601349722855
2009-04-24,20:00:00,1.32733,1.32829,1.32327,1.32413,6314,84.88260661236257
2009-04-30,08:00:00,1.32838,1.33848,1.32728,1.33357,8827,82.32784887263902
2009-05-11,00:00:00,1.36545,1.3658,1.3615,1.36292,1808,81.52657004830887
2009-05-11,04:00:00,1.3629,1.36668,1.36184,1.36493,3185,81.13654301499578
2009-05-11,08:00:00,1.36493,1.36527,1.35918,1.3603,11358,81.10453648915174
2009-05-12,08:00:00,1.35953,1.36691,1.35885,1.36476,21555,82.06149082061485
2009-05-12,12:00:00,1.36477,1.37066,1.36223,1.36586,25097,81.09997669540894
2009-05-20,16:00:00,1.36726,1.37938,1.36716,1.3759,17267,81.37916922447295
2009-05-20,20:00:00,1.37591,1.38295,1.37568,1.37796,9808,80.69579974543896
2009-05-21,08:00:00,1.37701,1.38382,1.37396,1.37705,12742,80.48906048906036
2009-05-21,20:00:00,1.38933,1.39228,1.38656,1.38894,11117,85.2112676056335
2009-05-22,00:00:00,1.38898,1.39537,1.38893,1.39534,6742,86.78691275167756
2009-05-22,04:00:00,1.39536,1.39536,1.39098,1.39245,8152,80.8021725506577
2009-05-22,08:00:00,1.39248,1.39776,1.38997,1.39563,20542,84.719692369965
2009-05-22,12:00:00,1.39566,1.40039,1.39423,1.39774,19023,85.54474708171169
2009-05-22,16:00:00,1.39777,1.40348,1.39684,1.40185,24590,85.50526726492353
2009-05-22,20:00:00,1.40184,1.40498,1.39902,1.39974,7799,81.5116279069763
2009-05-25,20:00:00,1.40095,1.40217,1.40054,1.4016,2514,80.38393645189718
2009-06-01,04:00:00,1.41168,1.41647,1.41139,1.41397,8306,84.24374319912958
2009-06-01,08:00:00,1.41396,1.42453,1.41133,1.42248,18714,86.24620060790285
2009-06-01,12:00:00,1.42251,1.42453,1.41884,1.42003,18004,86.98984479785385
2009-06-01,16:00:00,1.42002,1.42237,1.41481,1.41846,23070,83.11111111111123
2009-06-08,16:00:00,1.3869,1.39092,1.38246,1.38981,21911,16.26480541455156
2009-06-08,20:00:00,1.38985,1.39283,1.38701,1.38995,11366,18.594158157207275
2009-06-09,04:00:00,1.39163,1.39212,1.38519,1.38687,8283,16.48116438356169
2009-06-16,00:00:00,1.38025,1.38031,1.37477,1.37627,6843,15.947390053431363
2009-07-06,00:00:00,1.39551,1.39775,1.39528,1.39693,3521,13.417431192660928
2009-07-06,04:00:00,1.39693,1.39858,1.39521,1.39792,7666,17.89976133651591
2009-07-06,08:00:00,1.39793,1.39977,1.39122,1.39283,16569,15.57093425605575
2009-07-06,12:00:00,1.39285,1.39352,1.3876,1.39167,14831,15.861825872400772
2009-07-15,12:00:00,1.40454,1.41013,1.40409,1.40925,15758,84.34163701067618
2009-07-15,16:00:00,1.40927,1.41178,1.40724,1.4093,21546,82.77511961722493
2009-07-15,20:00:00,1.40929,1.41338,1.40922,1.4107,10788,82.30563002680987
2009-07-30,12:00:00,1.40548,1.40915,1.40411,1.40608,14901,19.779546846294934
2009-08-03,00:00:00,1.42703,1.4308,1.42422,1.42516,6720,82.43642814902418
2009-08-03,08:00:00,1.42455,1.42793,1.42064,1.42744,15080,80.97447795823646
2009-08-03,12:00:00,1.42744,1.43253,1.42642,1.43143,16677,85.4350736278445
2009-08-03,16:00:00,1.43144,1.44435,1.43081,1.44036,22061,88.09628008752719
2009-08-03,20:00:00,1.44035,1.44377,1.44028,1.44114,8037,88.15846756639078
2009-08-04,00:00:00,1.44122,1.44213,1.43904,1.44069,4943,87.04640422256405
2009-08-04,04:00:00,1.44068,1.44308,1.43772,1.43832,9469,82.57751529213228
2009-08-04,08:00:00,1.43836,1.44227,1.43762,1.44094,14929,82.94445591575452
2009-08-04,16:00:00,1.43898,1.44293,1.4389,1.44288,20617,87.17724288840228
2009-08-04,20:00:00,1.4429,1.44291,1.43804,1.44071,10457,82.21877767936193
2009-08-07,16:00:00,1.43208,1.43555,1.41537,1.41803,19036,17.20597386434403
2009-08-07,20:00:00,1.41801,1.4198,1.41613,1.41825,7102,16.478342749529588
2009-08-10,00:00:00,1.4181,1.42033,1.41782,1.42006,3063,15.924170616114623
2009-08-10,04:00:00,1.4201,1.42107,1.4188,1.42093,5334,18.92411143131669
2009-08-10,08:00:00,1.42093,1.42184,1.41755,1.41941,10810,16.20355916328498
2009-08-10,12:00:00,1.41942,1.42135,1.41629,1.4176,8667,15.604329524955418
2009-08-10,16:00:00,1.41761,1.4187,1.41289,1.41394,11125,14.164847161572567
2009-08-10,20:00:00,1.41391,1.41447,1.41041,1.41387,7324,15.034762456547412
2009-08-11,00:00:00,1.4139,1.41569,1.41249,1.41478,5217,19.352791878173008
2009-08-11,04:00:00,1.41476,1.41563,1.41231,1.41322,7675,17.416590143863246
2009-08-17,20:00:00,1.40823,1.40949,1.40733,1.40814,8295,14.05740378343124
2009-08-18,04:00:00,1.41034,1.41327,1.40913,1.40993,9994,17.05559368565521
