trade_date,trade_time,open,high,low,close,volume,prev_day_high,prev_day_low,body,upper_wick,lower_wick,range,bullish_pinbar,bearish_pinbar,signal,forward_1,forward_3,forward_6
1986-01-09,00:00:00,0.797,0.7988,0.7939,0.7972,961,0.8007,0.7959,0.00019999999999997797,0.0015999999999999348,0.0030999999999999917,0.004899999999999904,True,False,BULLISH_SWEEP_PINBAR,-0.08780732563974333,-0.6899147014551004,-0.46412443552433974
1986-01-22,00:00:00,0.7969,0.7988,0.7937,0.7972,991,0.796,0.796,0.00029999999999996696,0.0015999999999999348,0.0032000000000000917,0.005099999999999993,True,False,BULLISH_SWEEP_PINBAR,0.02508780732563698,2.1575514300050167,2.9979929754139527
1986-01-30,00:00:00,0.8209,0.8222,0.8183,0.8211,761,0.8211,0.8187,0.000200000000000089,0.0010999999999999899,0.0025999999999999357,0.0039000000000000146,True,False,BULLISH_SWEEP_PINBAR,-0.267933260260637,-1.3762026549750441,-0.9986603336987085
1986-02-13,00:00:00,0.8302,0.8328,0.8255,0.8303,1451,0.8289,0.8258,9.999999999998899e-05,0.0024999999999999467,0.0047000000000000375,0.007299999999999973,True,False,BULLISH_SWEEP_PINBAR,0.1806575936408462,0.37335902685776123,1.9149704925930284
1986-02-14,00:00:00,0.8321,0.8335,0.8294,0.8318,791,0.8328,0.8255,0.00029999999999996696,0.0014000000000000679,0.0023999999999999577,0.0040999999999999925,False,True,BEARISH_SWEEP_PINBAR,0.2404424140418372,1.851406588122141,2.945419572012499
1986-03-26,00:00:00,0.8368,0.8392,0.8317,0.8369,1491,0.8447,0.8361,9.999999999998899e-05,0.0022999999999999687,0.005099999999999993,0.007499999999999951,True,False,BULLISH_SWEEP_PINBAR,0.5854940853148543,-0.43015891982314935,-2.1388457402318113
1986-05-23,00:00:00,0.8584,0.8591,0.8572,0.8588,341,0.8638,0.8579,0.00039999999999995595,0.00029999999999996696,0.0012000000000000899,0.0019000000000000128,True,False,BULLISH_SWEEP_PINBAR,-0.13972985561248008,-0.9198882161155121,0.0
1986-05-27,00:00:00,0.8577,0.86,0.8526,0.8576,1471,0.8591,0.8572,9.999999999998899e-05,0.0022999999999999687,0.0050000000000000044,0.007399999999999962,False,True,BEARISH_SWEEP_PINBAR,0.13992537313432588,-1.749067164179106,0.2332089552238808
1986-05-28,00:00:00,0.8589,0.8602,0.8581,0.8588,411,0.86,0.8526,9.999999999998899e-05,0.0012999999999999678,0.0007000000000000339,0.0020999999999999908,False,True,BEARISH_SWEEP_PINBAR,-0.9198882161155121,-2.1192361434559843,1.5020959478341898
1986-06-23,00:00:00,0.8722,0.8767,0.8696,0.8718,1381,0.8722,0.8707,0.00039999999999995595,0.0045000000000000595,0.0021999999999999797,0.007099999999999995,False,True,BEARISH_SWEEP_PINBAR,0.8488185363615465,1.0094058270245503,2.9020417526955713
1986-07-02,00:00:00,0.894,0.8954,0.8935,0.8942,361,0.8988,0.8937,0.00019999999999997797,0.0011999999999999789,0.000500000000000056,0.0019000000000000128,True,False,BULLISH_SWEEP_PINBAR,0.6709908297919934,0.38022813688212465,0.5367926638335973
1986-07-07,00:00:00,0.8978,0.9009,0.8959,0.8976,981,0.9006,0.9006,0.000200000000000089,0.0030999999999999917,0.0016999999999999238,0.0050000000000000044,False,True,BEARISH_SWEEP_PINBAR,0.07798573975044942,0.15597147950089885,0.6461675579322669
1986-07-14,00:00:00,0.8958,0.8967,0.8929,0.8957,751,0.8964,0.8932,9.999999999998899e-05,0.0009000000000000119,0.0028000000000000247,0.0038000000000000256,False,True,BEARISH_SWEEP_PINBAR,0.859662833538007,1.7304901194596358,2.344535000558212
1986-08-18,00:00:00,0.9461,0.949,0.9445,0.9458,871,0.9487,0.948,0.000300000000000078,0.0028999999999999027,0.0012999999999999678,0.0044999999999999485,False,True,BEARISH_SWEEP_PINBAR,0.2748995559314915,1.0573059843518724,0.9621484457602028
1986-08-21,00:00:00,0.9556,0.9573,0.9526,0.9558,921,0.9547,0.954,0.00019999999999997797,0.0015000000000000568,0.0030000000000000027,0.0047000000000000375,True,False,BULLISH_SWEEP_PINBAR,0.15693659761456966,-0.09416195856873948,0.2824858757062184
1986-08-29,00:00:00,0.9583,0.9607,0.9535,0.9585,1421,0.9562,0.9541,0.00019999999999997797,0.0021999999999999797,0.0048000000000000265,0.007199999999999984,True,False,BULLISH_SWEEP_PINBAR,0.4590505998956661,0.6364110589462696,-1.0015649452269226
1986-09-03,00:00:00,0.9636,0.965,0.9604,0.9635,911,0.9646,0.9627,9.999999999998899e-05,0.0013999999999999568,0.0030999999999999917,0.0045999999999999375,False,True,BEARISH_SWEEP_PINBAR,0.11416709911779863,-1.90970420342501,-2.656979761286981
