trade_date,trade_time,open,high,low,close,volume,rsi,prev_high,prev_low,inside_bar,signal,forward_1,forward_3,forward_6
2024-05-17,01:00:00,18551.16,18574.29,18548.44,18571.49,4886,81.81491294473842,18622.07,18540.48,True,BEARISH_INSIDE_BAR,-0.0011846114662914184,-0.11571500186577166,0.027622985554725983
2024-05-31,05:00:00,18496.46,18508.96,18468.46,18477.09,6454,16.999608942188374,18517.84,18442.09,True,BULLISH_INSIDE_BAR,0.023001457480588124,-1.027109788391997,0.6333789574007532
2024-06-06,17:00:00,18986.05,19059.23,18985.93,19027.73,13236,90.16697868228744,19076.14,18985.69,True,BEARISH_INSIDE_BAR,-0.007883231473223553,0.1373784471400394,0.25725612040953244
2024-06-13,21:00:00,19541.11,19609.55,19520.34,19578.74,7680,88.18836477573456,19622.5,19472.91,True,BEARISH_INSIDE_BAR,0.11808727221465211,-0.22667444380997456,0.4341443831421225
2024-06-14,01:00:00,19569.86,19603.86,19568.11,19601.86,4443,86.15987412457991,19609.55,19520.34,True,BEARISH_INSIDE_BAR,0.11544822787225813,0.07336038518794144,0.40174758925938664
2024-07-04,01:00:00,20166.86,20178.99,20152.24,20168.24,4355,84.50613806385698,20197.24,19997.49,True,BEARISH_INSIDE_BAR,0.00555328576018027,-0.07501894067107996,0.15306243876510284
2024-07-04,05:00:00,20168.11,20170.49,20159.11,20169.36,4085,81.75225280829547,20178.99,20152.24,True,BEARISH_INSIDE_BAR,-0.026029581503825602,-0.13262691528139714,0.17789359702043603
2024-07-09,05:00:00,20482.18,20513.85,20476.15,20498.28,4979,91.45241369665074,20519.36,20449.13,True,BEARISH_INSIDE_BAR,0.07332322516817252,-0.30914788948145394,-0.11352171987113277
2024-07-19,05:00:00,19764.11,19779.24,19752.49,19779.11,5133,17.722137274889434,19792.36,19751.86,True,BULLISH_INSIDE_BAR,-0.564332773314871,-1.2011157225982347,-0.853779568443671
2024-07-25,01:00:00,19108.19,19139.28,19087.32,19094.99,7505,8.551489439979875,19166.65,19006.32,True,BULLISH_INSIDE_BAR,-0.1198220056674605,-1.1704640850820032,-0.8565597572976017
2024-07-25,21:00:00,19129.24,19133.59,18782.97,18828.04,13857,16.958082254931,19228.35,18724.51,True,BULLISH_INSIDE_BAR,0.5491277902532575,1.1449412684485465,1.0513574434726118
2024-08-05,09:00:00,17420.84,17872.86,17344.64,17699.36,16853,16.57777678598002,18058.86,17238.47,True,BULLISH_INSIDE_BAR,0.41826371123023,1.8370720749224707,1.5681922962186072
2024-08-14,21:00:00,18976.29,19057.85,18943.39,19041.65,8535,86.53846153846139,19107.3,18833.77,True,BEARISH_INSIDE_BAR,0.13144869273407941,0.13890602967703475,2.2179275430437912
2024-09-12,01:00:00,19205.15,19261.43,19204.91,19250.76,6535,81.88933525954391,19264.68,19003.91,True,BEARISH_INSIDE_BAR,0.1862264139182151,-0.09495728999789535,0.8887960787002809
2024-09-13,01:00:00,19402.36,19451.99,19399.36,19421.86,5612,81.21334757274295,19456.87,19333.29,True,BEARISH_INSIDE_BAR,0.012254233116709822,0.13258256418283315,0.43378955465645413
2024-09-13,09:00:00,19424.11,19454.99,19402.86,19440.11,8213,84.94432251474137,19467.24,19399.36,True,BEARISH_INSIDE_BAR,0.03858002861094922,0.27330092267996947,0.3549362632207328
2024-09-13,21:00:00,19541.91,19553.87,19474.61,19493.24,8024,84.7627632235052,19557.58,19397.58,True,BEARISH_INSIDE_BAR,0.06602288793447872,0.0814128385019575,-0.4566198333371057
2024-11-01,01:00:00,19941.11,19981.99,19922.36,19933.99,7281,17.616000521472856,19998.5,19878.64,True,BULLISH_INSIDE_BAR,0.31915336568343305,0.5461525765789939,0.7856931803417128
2024-11-01,09:00:00,19997.11,20000.36,19933.11,19972.74,8857,12.508378390455462,20003.61,19893.86,True,BULLISH_INSIDE_BAR,0.35107852002278594,0.4061535873395387,0.5407370245644814
2024-11-07,01:00:00,20789.54,20800.6,20739.92,20788.01,7843,91.92958415754029,20813.05,20725.27,True,BEARISH_INSIDE_BAR,0.197662017672688,0.9758509833312596,1.5122178601992236
2024-11-07,09:00:00,20828.48,20840.93,20788.52,20824.67,8890,96.36813229271293,20842.57,20782.69,True,BEARISH_INSIDE_BAR,0.7980918785267701,1.351137857166537,0.970339505980183
2024-11-08,01:00:00,21089.12,21127.62,21089.12,21102.37,6319,96.27509498151265,21131.57,21038.95,True,BEARISH_INSIDE_BAR,0.053311547470734334,-0.028432825317724977,0.269495795969849
2024-12-02,21:00:00,21152.87,21180.79,21116.62,21153.13,7202,88.19463821932214,21199.74,21081.74,True,BEARISH_INSIDE_BAR,0.027939127684649286,-0.03375386999465052,0.5580261644494088
2024-12-03,01:00:00,21148.32,21167.44,21144.9,21159.04,5668,89.07505556505403,21180.79,21116.62,True,BEARISH_INSIDE_BAR,0.0495296573001401,-0.037856159825786224,0.5798939838480419
2024-12-05,01:00:00,21455.26,21469.65,21442.11,21455.64,5512,91.1748693379795,21494.82,21411.79,True,BEARISH_INSIDE_BAR,-0.019109194598709453,0.013096789468882352,-0.10519378587634631
2024-12-05,05:00:00,21455.39,21466.97,21450.15,21451.54,4341,90.16825952348972,21469.65,21442.11,True,BEARISH_INSIDE_BAR,0.012306808741933763,-0.05095205285960957,-0.08670706159092625
2024-12-19,01:00:00,21210.9,21254.39,21160.84,21169.25,9056,8.927132139978369,21976.91,21020.24,True,BULLISH_INSIDE_BAR,0.11630076644188615,0.6218926036586154,-0.853880038263039
2025-02-17,17:00:00,22131.24,22169.87,22120.74,22153.87,5413,84.6623777751236,22187.87,22110.99,True,BEARISH_INSIDE_BAR,0.09140615161143403,0.20705186046502314,-0.053128415035388565
2025-02-25,05:00:00,21374.12,21380.99,21345.74,21357.99,6089,18.186426256811444,21387.87,21304.24,True,BULLISH_INSIDE_BAR,-0.5899431547631588,-1.0389086238920564,-0.6701005103944829
2025-02-25,21:00:00,21135.72,21197.84,21056.9,21128.57,13062,13.17533756624178,21216.19,20928.24,True,BULLISH_INSIDE_BAR,0.2487153650247001,0.6184516983402184,0.39377960742255974
2025-03-28,05:00:00,19774.86,19808.11,19774.24,19786.11,6284,7.894694076542052,19820.74,19743.89,True,BULLISH_INSIDE_BAR,-0.32911977139518067,-2.445149652963616,-3.6705042072443748
2025-03-31,05:00:00,19062.99,19079.74,19000.61,19059.86,8754,4.86265086559996,19142.99,18981.24,True,BULLISH_INSIDE_BAR,-0.22298170080997445,-0.07749269931678636,0.6702567594935115
2025-04-04,09:00:00,18485.36,18517.99,18362.86,18414.86,16972,15.73730455426086,18522.11,18301.39,True,BULLISH_INSIDE_BAR,-2.047259658775576,-5.676122435902309,-9.056381639610626
2025-04-24,01:00:00,18675.74,18761.86,18628.36,18658.36,9058,80.37493889991084,18841.23,18617.22,True,BEARISH_INSIDE_BAR,-0.32425143474560464,1.502168464966904,3.4281147967988668
2025-05-14,01:00:00,21175.24,21220.99,21167.49,21203.99,7251,83.98342801317075,21257.43,21164.87,True,BEARISH_INSIDE_BAR,0.1556310864134533,0.21637437104996454,0.4044050199985946
