trade_date,trade_time,open,high,low,close,volume,momentum,forward_1,forward_3,forward_6
2018-12-11,12:00:00,1.13678,1.14001,1.13659,1.13925,15294,BULLISH_NY_OPEN,-0.5117401799429451,-0.9506254114549149,0.09479921000658062
2018-12-12,12:00:00,1.13236,1.13378,1.13149,1.13342,15392,BULLISH_NY_OPEN,0.389970178751025,0.13940110462140376,1.1637345379470816
2018-12-13,12:00:00,1.13819,1.1393,1.13664,1.13784,13892,BEARISH_NY_OPEN,-0.8278844125711862,0.1309498699289875,0.3981227589116348
2018-12-14,12:00:00,1.1355,1.13584,1.12824,1.12842,20386,BEARISH_NY_OPEN,0.5831162155934874,1.0554580741213455,0.9978554084472137
2018-12-17,12:00:00,1.13179,1.13511,1.13107,1.135,13122,BULLISH_NY_OPEN,0.3814977973568234,1.022907488986775,0.2819383259911975
2018-12-18,12:00:00,1.13575,1.14018,1.13553,1.13933,17555,BULLISH_NY_OPEN,0.08777088288732078,0.2668234839774388,-0.04125231495703356
2018-12-19,12:00:00,1.13968,1.14137,1.1382,1.14033,15162,BULLISH_NY_OPEN,0.5507177746792455,-0.05700104355757013,0.5463330790209814
2018-12-20,12:00:00,1.14152,1.14855,1.14104,1.14661,26232,BULLISH_NY_OPEN,-0.36978571615455996,-0.7334664794480954,-0.12471546558985361
2018-12-21,12:00:00,1.14686,1.14736,1.14117,1.14237,21572,BEARISH_NY_OPEN,-0.23547537137705654,-0.3072559678563096,0.08491119339617771
2018-12-24,12:00:00,1.13771,1.14116,1.13739,1.13968,12619,BULLISH_NY_OPEN,-0.12986101361785113,0.6036782254667974,-0.48961111891056425
2018-12-26,12:00:00,1.14018,1.1402,1.13807,1.1382,4756,BEARISH_NY_OPEN,0.05798629414864548,0.6132489896327522,0.25566684238270676
2018-12-27,12:00:00,1.13785,1.1409,1.13781,1.13886,18937,BULLISH_NY_OPEN,0.676114711202434,0.3933758319723267,0.4522065925574687
2018-12-28,12:00:00,1.14544,1.14723,1.14304,1.14656,18831,BULLISH_NY_OPEN,-0.12036003349148207,-1.0867289980463224,-0.0034886966229451576
2018-12-31,12:00:00,1.14426,1.14655,1.14288,1.14518,12004,BULLISH_NY_OPEN,-0.16067343125098793,-0.3554026441258158,0.038421907473060644
2019-01-02,12:00:00,1.1476,1.14776,1.14218,1.14334,20660,BEARISH_NY_OPEN,-0.8081585530113452,0.05860024139800482,0.8387706194132969
2019-01-03,12:00:00,1.13693,1.13837,1.134,1.1341,21599,BEARISH_NY_OPEN,0.6181112776651054,1.095141521911637,1.6797460541398277
2019-01-04,12:00:00,1.14074,1.14187,1.13943,1.14111,14226,BULLISH_NY_OPEN,0.25413851425365674,0.3952292066496669,0.5161640858462331
2019-01-07,12:00:00,1.14358,1.14474,1.14277,1.14401,12127,BULLISH_NY_OPEN,0.21940367654129006,0.7797134640431499,-0.07779652275767322
2019-01-08,12:00:00,1.14434,1.14688,1.14331,1.14652,13105,BULLISH_NY_OPEN,-0.0784984125876479,0.5782716393957291,-0.76405121585318
2019-01-09,12:00:00,1.14651,1.1476,1.14387,1.14562,13310,BEARISH_NY_OPEN,0.6380824357116607,0.12045879087305884,-0.4984200694820362
2019-01-10,12:00:00,1.15409,1.15577,1.15176,1.15293,16158,BEARISH_NY_OPEN,0.019081817629854975,-0.8508755952226152,-1.085061538861858
2019-01-11,12:00:00,1.15257,1.154,1.15151,1.15315,17978,BULLISH_NY_OPEN,-0.5333217708017065,-1.3346052118111082,-1.416121059706019
2019-01-14,12:00:00,1.14791,1.14816,1.14501,1.147,18287,BEARISH_NY_OPEN,-0.33827375762860556,-0.6181342632955572,-0.9755884917175269
2019-01-15,12:00:00,1.147,1.14737,1.14229,1.14312,19860,BEARISH_NY_OPEN,-0.46889215480437835,-0.23619567499474464,-0.5799916019315483
2019-01-16,12:00:00,1.13933,1.14244,1.13773,1.13776,16961,BEARISH_NY_OPEN,0.18896779637180725,-0.08261847841373952,-0.28389115454929564
2019-01-17,12:00:00,1.13876,1.14049,1.13819,1.13991,14475,BULLISH_NY_OPEN,0.0447403742400725,-0.3596775184005749,-0.46758077392075315
2019-01-18,12:00:00,1.13911,1.14096,1.1388,1.14042,12419,BULLISH_NY_OPEN,-0.3156731730415152,-0.3446098805703153,0.019291138352546342
2019-01-21,12:00:00,1.13843,1.13862,1.13656,1.13682,9105,BEARISH_NY_OPEN,-0.08884432012103548,-0.20143910205660556,0.5920022518956497
2019-01-22,12:00:00,1.13527,1.13668,1.13496,1.13581,12885,BULLISH_NY_OPEN,0.0598691682587769,-0.1082927602327911,0.6612021376814701
2019-01-23,12:00:00,1.13648,1.13672,1.13505,1.13649,12623,BULLISH_NY_OPEN,-0.17246082235655058,0.3651593942753652,1.0717208246443066
2019-01-24,12:00:00,1.13696,1.13761,1.13296,1.13453,19727,BEARISH_NY_OPEN,0.004407111314807318,0.7950428811930955,1.0929636060747592
2019-01-25,12:00:00,1.13236,1.1349,1.13153,1.13458,16184,BULLISH_NY_OPEN,0.5341183521655747,0.7703291085688071,0.9316222743217728
2019-01-28,12:00:00,1.14057,1.14221,1.13897,1.14064,13049,BULLISH_NY_OPEN,0.25511993266937577,0.703990742039555,0.12712161593490945
2019-01-29,12:00:00,1.14344,1.14498,1.14303,1.14355,15213,BULLISH_NY_OPEN,-0.020112806611007346,0.2955708101963131,-0.44860303441039556
2019-01-30,12:00:00,1.1431,1.14409,1.14216,1.14332,14543,BULLISH_NY_OPEN,0.46793548612813457,0.16006017562887018,-0.921001994192346
2019-01-31,12:00:00,1.14956,1.15082,1.14712,1.14867,21137,BEARISH_NY_OPEN,-0.15147953720390317,-0.5728364108055429,-1.2858349221273446
2019-02-01,12:00:00,1.14472,1.14743,1.1442,1.14693,15408,BULLISH_NY_OPEN,-0.15519691698709728,-0.7419807660450086,-1.3601527556171744
2019-02-04,12:00:00,1.1442,1.14538,1.14382,1.14515,14587,BULLISH_NY_OPEN,-0.26721390210888013,-1.0793345849888598,-1.4810286861983029
2019-02-05,12:00:00,1.14246,1.14255,1.14111,1.14209,12473,BEARISH_NY_OPEN,-0.3213406999448434,-0.7171063576425799,-0.802913955992971
2019-02-06,12:00:00,1.13887,1.13984,1.13816,1.13842,11081,BEARISH_NY_OPEN,-0.49454507123908786,-0.622792993798426,-1.011928813618873
2019-02-07,12:00:00,1.13538,1.13567,1.13242,1.13279,13990,BEARISH_NY_OPEN,0.09798815314400236,-0.40607703104723186,-0.4890579895655751
2019-02-08,12:00:00,1.13398,1.13433,1.13224,1.1339,10823,BEARISH_NY_OPEN,-0.2266513801922534,-0.08642737454801842,-0.07937207866654035
2019-02-11,12:00:00,1.13208,1.1322,1.12964,1.13133,12146,BEARISH_NY_OPEN,-0.2775494329682693,-0.3915745184870846,-0.2704781098353125
2019-02-12,12:00:00,1.12847,1.129,1.12573,1.12819,11656,BEARISH_NY_OPEN,0.4192556218367386,-0.08331929905423208,0.47243815314796767
2019-02-13,12:00:00,1.13192,1.13339,1.13107,1.13292,11723,BULLISH_NY_OPEN,-0.5313702644493798,0.007061398863121846,0.18006567100943066
2019-02-14,12:00:00,1.12858,1.12897,1.12493,1.1269,14519,BEARISH_NY_OPEN,0.031058656491265636,0.12157245540865146,0.6122992279705303
2019-02-15,12:00:00,1.12788,1.12859,1.12678,1.12725,10972,BEARISH_NY_OPEN,0.5100909292525989,0.5562208915502327,0.8152583721445826
2019-02-18,12:00:00,1.13069,1.1331,1.12945,1.133,9760,BULLISH_NY_OPEN,-0.41747572815533107,0.17299205648719876,0.2983230361871084
2019-02-19,12:00:00,1.12989,1.13242,1.1275,1.12827,15193,BEARISH_NY_OPEN,0.46531415352707917,0.4901309083818423,1.006851196965249
2019-02-20,12:00:00,1.13431,1.1358,1.13297,1.13352,11859,BEARISH_NY_OPEN,0.1270378996400492,0.2576046298256591,0.7172348083844987
