trade_date,trade_time,open,high,low,close,volume,week,prev_week_high,prev_week_low,rsi,distance_to_prev_week_high_pct,distance_to_prev_week_low_pct,signal,forward_1,forward_3,forward_6
2012-12-14,00:00:00,0.9235,0.9244,0.9232,0.9238,4074,2012-12-10/2012-12-16,0.9382,0.9239,16.78832116788307,-1.5348539756981538,-0.010823682216700943,BULLISH_WEEKLY_STRUCTURE,-0.09742368478024474,0.0,-0.5195929854946867
2012-12-14,04:00:00,0.9239,0.924,0.9227,0.9229,4537,2012-12-10/2012-12-16,0.9382,0.9239,16.66666666666653,-1.6307823491792772,-0.10823682216690128,BULLISH_WEEKLY_STRUCTURE,0.075847870841903,-0.6609600173366675,-0.5200996857731094
2013-04-09,00:00:00,0.93506,0.93522,0.93173,0.93216,4190,2013-04-08/2013-04-14,0.9527,0.93126,19.124087591240865,-2.155977747454603,0.09664325752206815,BULLISH_WEEKLY_STRUCTURE,0.1534071404050852,0.24352042567799456,0.010727772056298166
2013-04-30,16:00:00,0.93639,0.93665,0.92784,0.93083,11251,2013-04-29/2013-05-05,0.94986,0.93143,14.892473118279781,-2.003453140462804,-0.06441707911490224,BULLISH_WEEKLY_STRUCTURE,-0.1933758043896333,-0.12461996282887851,-0.4404671099986026
2013-07-08,00:00:00,0.96518,0.96653,0.96489,0.96501,3885,2013-07-08/2013-07-14,0.96603,0.94385,89.52461085401774,-0.10558678301916305,2.2418816549239886,BEARISH_WEEKLY_STRUCTURE,0.16062009720105908,0.00103625869161506,0.011398845607811679
2013-07-08,04:00:00,0.96501,0.96664,0.96498,0.96656,3679,2013-07-08/2013-07-14,0.96603,0.94385,90.11512504962288,0.05486372058837918,2.4061026646183197,BEARISH_WEEKLY_STRUCTURE,-0.22554212878662058,-0.3372785962588903,-0.1458781658665807
2013-07-08,12:00:00,0.96442,0.96618,0.96324,0.96502,8742,2013-07-08/2013-07-14,0.96603,0.94385,82.15513947267877,-0.10455161847976423,2.242941145309109,BEARISH_WEEKLY_STRUCTURE,-0.17823464798656438,0.01036247953410178,0.31709187374355585
2013-08-13,12:00:00,0.92782,0.93395,0.92665,0.93341,10624,2013-08-12/2013-08-18,0.93326,0.9175,82.21307727480544,0.01607269142575311,1.734059945504085,BEARISH_WEEKLY_STRUCTURE,0.008570724547635017,-0.0814218832024494,0.3074747431461029
2013-08-13,16:00:00,0.93341,0.93484,0.93269,0.93349,12445,2013-08-12/2013-08-18,0.93326,0.9175,81.5901561760529,0.02464479351949762,1.7427792915531402,BEARISH_WEEKLY_STRUCTURE,-0.07605866158180467,0.007498741282702919,0.21317850217998438
2013-08-30,08:00:00,0.93062,0.93202,0.92889,0.92991,8337,2013-08-26/2013-09-01,0.92895,0.91467,88.6058981233242,0.10334248344905117,1.666174685952314,BEARISH_WEEKLY_STRUCTURE,0.10861266144034963,0.04731640696411437,0.2570141196459876
2013-09-02,00:00:00,0.93133,0.93354,0.93102,0.93288,4201,2013-09-02/2013-09-08,0.93321,0.91704,87.60942760942785,-0.03536181566849278,1.7272965192358107,BEARISH_WEEKLY_STRUCTURE,-0.04930966469428178,-0.013935340022304529,0.21546179572934954
2013-09-02,04:00:00,0.93288,0.93288,0.9318,0.93242,5172,2013-09-02/2013-09-08,0.93321,0.91704,84.68708388814926,-0.08465404357003863,1.6771351304196176,BEARISH_WEEKLY_STRUCTURE,-0.01286973681388312,0.21020570129340446,0.21020570129340446
2013-09-02,08:00:00,0.93242,0.93334,0.93146,0.9323,7337,2013-09-02/2013-09-08,0.93321,0.91704,82.47646632874743,-0.09751288563131197,1.6640495507284363,BEARISH_WEEKLY_STRUCTURE,0.048267724981223906,0.2113053738067175,0.2767349565590504
2013-09-02,12:00:00,0.93231,0.93302,0.93133,0.93275,5843,2013-09-02/2013-09-08,0.93321,0.91704,84.51106352605275,-0.049292227901545846,1.713120474570357,BEARISH_WEEKLY_STRUCTURE,0.17475207719110378,0.22942910747789125,0.28946663093004943
2013-09-02,16:00:00,0.93275,0.93489,0.93237,0.93438,5049,2013-09-02/2013-09-08,0.93321,0.91704,80.7282415630551,0.1253737100974062,1.8908662653755588,BEARISH_WEEKLY_STRUCTURE,-0.01177251225410898,0.0,0.20334339348017003
2013-09-10,04:00:00,0.93257,0.93298,0.93182,0.9322,3088,2013-09-09/2013-09-15,0.94552,0.93102,12.062726176115362,-1.4087486250951855,0.1267427122940506,BULLISH_WEEKLY_STRUCTURE,0.15554602016734081,0.2660373310448323,0.4612744046341955
2022-10-31,20:00:00,1.00141,1.00216,1.00044,1.00169,7741,2022-10-31/2022-11-06,1.00311,0.98414,85.46511627906997,-0.14155974918004774,1.7832828662588611,BEARISH_WEEKLY_STRUCTURE,-0.006988189958970789,-0.7187852529225592,-0.15873174335373025
2022-11-01,00:00:00,0.99992,1.00201,0.99967,1.00162,4231,2022-10-31/2022-11-06,1.00311,0.98414,84.12600370599152,-0.14853804667484038,1.7761700571056902,BEARISH_WEEKLY_STRUCTURE,-0.1188075317984889,-0.875581557876235,-0.3154889079690842
2022-11-08,00:00:00,0.98804,0.98999,0.98756,0.98958,4879,2022-11-07/2022-11-13,1.0147,0.99106,17.943770672546904,-2.4756085542524806,-0.14933505539523712,BULLISH_WEEKLY_STRUCTURE,0.2546534893591187,0.07882131813496665,-0.30720103478243727
2022-11-15,08:00:00,0.94416,0.9443,0.93798,0.9397,12782,2022-11-14/2022-11-20,0.99832,0.93973,19.27501627957453,-5.871864732751023,-0.0031924063294749014,BULLISH_WEEKLY_STRUCTURE,0.0,0.5171863360646989,0.09045440034053608
2022-11-21,04:00:00,0.95427,0.95628,0.95424,0.95563,6320,2022-11-21/2022-11-27,0.95573,0.93565,84.20398009950208,-0.010463206135622925,2.135413883396569,BEARISH_WEEKLY_STRUCTURE,0.3725291169176363,0.3432290740140076,0.1810324079403126
2022-12-02,04:00:00,0.93772,0.93855,0.93709,0.93774,4986,2022-11-28/2022-12-04,0.95983,0.93873,15.202411714039414,-2.301449214965144,-0.10546163433574463,BULLISH_WEEKLY_STRUCTURE,-0.27832874784055295,-0.017062298718200034,-0.3241836756457059
2023-02-06,16:00:00,0.92592,0.92905,0.92555,0.92856,11018,2023-02-06/2023-02-12,0.92878,0.90597,84.2070557204087,-0.0236869872305603,2.4934600483459715,BEARISH_WEEKLY_STRUCTURE,-0.04307745326097042,-0.21431032997329705,-0.9584733350564334
2023-02-06,20:00:00,0.92855,0.92887,0.92688,0.92816,5379,2023-02-06/2023-02-12,0.92878,0.90597,81.60226869904258,-0.06675423674067756,2.4493084759980936,BEARISH_WEEKLY_STRUCTURE,-0.18100327529736412,-0.2187122909843105,-0.6755300810205135
2023-02-27,00:00:00,0.93918,0.94082,0.93918,0.94009,4023,2023-02-27/2023-03-05,0.94119,0.92204,82.32445520581103,-0.1168733199460247,1.9576157216606667,BEARISH_WEEKLY_STRUCTURE,0.15849546320033098,-0.29890755140465053,-0.37017732344774734
2023-02-27,04:00:00,0.94004,0.94184,0.94001,0.94158,4991,2023-02-27/2023-03-05,0.94119,0.92204,81.93069306930678,0.0414369043445002,2.1192139169667263,BEARISH_WEEKLY_STRUCTURE,-0.048854053824424475,-0.5267741455850766,-0.49916098472779014
2023-02-27,08:00:00,0.94158,0.94287,0.94063,0.94112,8295,2023-02-27/2023-03-05,0.94119,0.92204,86.81967213114719,-0.007437393087475909,2.069324541234652,BEARISH_WEEKLY_STRUCTURE,-0.4080244814688833,-0.5695341720503145,-0.35914654879292107
2023-03-06,12:00:00,0.93423,0.93595,0.93315,0.93437,8303,2023-03-06/2023-03-12,0.94399,0.93412,18.604651162791413,-1.0190785919342324,0.026763156767876023,BULLISH_WEEKLY_STRUCTURE,-0.3060885944540262,-0.39277802155463704,0.004280959362985646
2023-03-13,04:00:00,0.91906,0.92025,0.91518,0.91697,9199,2023-03-13/2023-03-19,0.94386,0.91744,9.176155391828416,-2.8489394613608034,-0.051229508196730195,BULLISH_WEEKLY_STRUCTURE,-0.1406807201980329,-0.6488761900607326,-0.3075345976422275
2023-05-24,16:00:00,0.90252,0.90668,0.90228,0.90586,11678,2023-05-22/2023-05-28,0.90624,0.89198,84.28093645484914,-0.04193149717514642,1.5560887015403937,BEARISH_WEEKLY_STRUCTURE,-0.08500209745435812,0.048572627116772564,0.14019826463250318
2023-07-27,08:00:00,0.85989,0.86122,0.85557,0.8559,8334,2023-07-24/2023-07-30,0.8684,0.85545,12.249443207126859,-1.4394288346384105,0.05260389268805313,BULLISH_WEEKLY_STRUCTURE,0.6729758149316494,1.557424932819249,1.7770767613038974
2023-09-25,00:00:00,0.90573,0.90757,0.9053,0.90703,2868,2023-09-25/2023-10-01,0.90781,0.8932,80.089285714286,-0.08592106277745376,1.5483654276757737,BEARISH_WEEKLY_STRUCTURE,0.10473743977597284,0.364927290166812,0.628424638655837
2023-12-20,12:00:00,0.86142,0.86507,0.86129,0.86199,6421,2023-12-18/2023-12-24,0.88158,0.863,14.158415841584585,-2.2221466004219694,-0.1170336037079902,BULLISH_WEEKLY_STRUCTURE,-0.040603719300696346,-0.01856170025174874,-0.46752282509078863
2024-03-07,16:00:00,0.8793,0.88036,0.87747,0.87864,8798,2024-03-04/2024-03-10,0.88925,0.8779,15.919923736892684,-1.1931402867585053,0.08429206059915285,BULLISH_WEEKLY_STRUCTURE,-0.1160885004097265,-0.15933715742510662,-0.2185195301830012
2024-03-07,20:00:00,0.87864,0.87865,0.87725,0.87762,4002,2024-03-04/2024-03-10,0.88925,0.8779,15.126811594203232,-1.3078436885015496,-0.03189429319968766,BULLISH_WEEKLY_STRUCTURE,-0.03760169549462654,-0.13331510220824552,-0.029625578268490577
2024-03-08,00:00:00,0.8771,0.87767,0.87668,0.87729,3797,2024-03-04/2024-03-10,0.88925,0.8779,17.234262125903456,-1.34495361259488,-0.0694839958993051,BULLISH_WEEKLY_STRUCTURE,-0.0056993696497161135,-0.2541918863773741,-0.0034196217898271367
2024-03-08,04:00:00,0.87732,0.87772,0.87701,0.87724,4276,2024-03-04/2024-03-10,0.88925,0.8779,17.709437963945405,-1.3505763283665972,-0.07517940539924751,BULLISH_WEEKLY_STRUCTURE,-0.09005517304273271,-0.05927682276229595,0.05015731156809949
2024-03-08,16:00:00,0.87508,0.87701,0.87427,0.87672,9733,2024-03-04/2024-03-10,0.88925,0.8779,15.64444444444517,-1.4090525723924578,-0.1344116641986512,BULLISH_WEEKLY_STRUCTURE,0.07299936125558604,0.10949904188337904,0.1824984031389651
2024-05-03,08:00:00,0.90948,0.90956,0.90702,0.90782,6447,2024-04-29/2024-05-05,0.91566,0.90866,15.887323943661656,-0.8562130048271268,-0.09244381836991426,BULLISH_WEEKLY_STRUCTURE,-0.5320437972285256,-0.31834504637482636,-0.34918816505474726
2024-05-20,08:00:00,0.90922,0.90997,0.90865,0.9089,5075,2024-05-20/2024-05-26,0.91019,0.89877,89.8400000000001,-0.1417286500620764,1.1270959199795367,BEARISH_WEEKLY_STRUCTURE,0.1771371988117505,0.17823742986026567,0.11772472219164973
2024-05-20,12:00:00,0.90893,0.91085,0.90853,0.91051,5104,2024-05-20/2024-05-26,0.91019,0.89877,89.77455716586155,0.03515749458904042,1.3062296249318606,BEARISH_WEEKLY_STRUCTURE,-0.13289255472208372,0.015375998067008376,-0.06150399226807008
2024-06-03,00:00:00,0.90184,0.90249,0.90075,0.901,2897,2024-06-03/2024-06-09,0.91535,0.90022,17.959183673469255,-1.5677063418364532,0.08664548665881706,BULLISH_WEEKLY_STRUCTURE,0.04439511653717602,0.009988901220857212,-0.6437291897891263
2024-06-03,04:00:00,0.90096,0.90164,0.90048,0.9014,3794,2024-06-03/2024-06-09,0.91535,0.90022,19.938962360121792,-1.5240072103566962,0.13107906956076945,BULLISH_WEEKLY_STRUCTURE,0.1431107166629702,-0.6545373862879983,-0.6390059906811613
2024-06-24,00:00:00,0.8929,0.8945,0.89288,0.89381,3091,2024-06-24/2024-06-30,0.89442,0.88266,83.28710124826664,-0.06820062163189547,1.2632270636485163,BEARISH_WEEKLY_STRUCTURE,-0.024613732224969286,-0.14880119936003652,-0.21928597800426955
2024-06-24,04:00:00,0.89381,0.89408,0.89318,0.89359,4418,2024-06-24/2024-06-30,0.89442,0.88266,81.71070931849833,-0.09279756713848052,1.2383024040967072,BEARISH_WEEKLY_STRUCTURE,0.032453362280241774,0.043644176859633774,-0.19248201076555732
2024-06-24,08:00:00,0.89358,0.89415,0.89307,0.89388,5708,2024-06-24/2024-06-30,0.89442,0.88266,84.60997891777978,-0.060374320788889435,1.2711576371422755,BEARISH_WEEKLY_STRUCTURE,-0.15662057546873817,-0.11746543160155674,-0.0324428334899553
2024-07-08,00:00:00,0.89573,0.89573,0.89428,0.8955,3776,2024-07-08/2024-07-14,0.90502,0.89536,18.967587034814102,-1.051910455017578,0.01563616869191364,BULLISH_WEEKLY_STRUCTURE,-0.0502512562814015,0.0792853154662187,0.2992741485203814
2024-07-08,04:00:00,0.8955,0.89571,0.89488,0.89505,4006,2024-07-08/2024-07-14,0.90502,0.89536,10.336239103362374,-1.1016331130803776,-0.03462294496068983,BULLISH_WEEKLY_STRUCTURE,0.04580749678789134,0.23238925199709184,0.35081839003407983
2024-07-08,08:00:00,0.89502,0.89569,0.89446,0.89546,6124,2024-07-08/2024-07-14,0.90502,0.89536,16.230366492146885,-1.056330246845375,0.011168691922800771,BULLISH_WEEKLY_STRUCTURE,0.0837558349898284,0.23786657137113498,0.3394903178254675
2024-07-08,12:00:00,0.89545,0.8967,0.89519,0.89621,5388,2024-07-08/2024-07-14,0.90502,0.89536,19.799498746866405,-0.973459150074042,0.09493388134380655,BULLISH_WEEKLY_STRUCTURE,0.10265451177737717,0.2198145523928574,0.19749835418038736
2024-07-26,00:00:00,0.88081,0.88164,0.88021,0.88118,4084,2024-07-22/2024-07-28,0.89788,0.88197,19.244391971665266,-1.8599367398761582,-0.0895722076714705,BULLISH_WEEKLY_STRUCTURE,-0.026101364079978262,0.16682176172860055,0.21788964797204124
2024-07-26,04:00:00,0.88118,0.88134,0.88024,0.88095,4578,2024-07-22/2024-07-28,0.89788,0.88197,19.267139479906035,-1.885552635096004,-0.11565019218340997,BULLISH_WEEKLY_STRUCTURE,0.2724331687382891,0.24064929905216084,0.24291957545831555
2024-08-01,00:00:00,0.87749,0.87836,0.87724,0.87739,4225,2024-07-29/2024-08-04,0.89239,0.87767,19.399860432659324,-1.68087943612098,-0.031902651338196246,BULLISH_WEEKLY_STRUCTURE,-0.04445001652628836,-0.14360774570032014,-0.5584745666123406
2024-08-01,04:00:00,0.8774,0.87756,0.87593,0.877,7386,2024-07-29/2024-08-04,0.89239,0.87767,18.98907103825188,-1.7245823014601254,-0.07633848713069245,BULLISH_WEEKLY_STRUCTURE,-0.15393386545039478,-0.35575826681870143,-0.5917901938426485
2024-08-12,08:00:00,0.86669,0.86934,0.86647,0.8685,9074,2024-08-12/2024-08-18,0.8674,0.84321,80.3766707168896,0.12681577127047508,2.99925285516064,BEARISH_WEEKLY_STRUCTURE,0.06678180771444028,-0.3857225100748503,-0.14162348877375525
2024-09-02,08:00:00,0.84982,0.85046,0.84847,0.84985,7203,2024-09-02/2024-09-08,0.85102,0.83999,80.32424465733202,-0.13748208032713735,1.1738234978987823,BEARISH_WEEKLY_STRUCTURE,0.15414484909101997,0.20591869153380352,0.32005648055539865
2024-09-02,12:00:00,0.84984,0.85153,0.84942,0.85116,6029,2024-09-02/2024-09-08,0.85102,0.83999,88.28633405639876,0.016450847218635167,1.329777735449233,BEARISH_WEEKLY_STRUCTURE,0.029371681000043757,0.1550824756802467,-0.039945486160064735
2024-09-02,16:00:00,0.85112,0.8537,0.85086,0.85141,5977,2024-09-02/2024-09-08,0.85102,0.83999,84.02366863905284,0.04582736010904579,1.3595399945237425,BEARISH_WEEKLY_STRUCTURE,0.02231592299832319,0.15268789419903078,-0.09161273651942106
2024-10-09,20:00:00,0.85996,0.861,0.85962,0.86073,5334,2024-10-07/2024-10-13,0.86075,0.84011,83.92664509169373,-0.002323555039212315,2.454440489935838,BEARISH_WEEKLY_STRUCTURE,-0.0267215038397584,-0.03253052641361948,-0.530944663250957
2024-10-10,00:00:00,0.85946,0.86079,0.85946,0.8605,3580,2024-10-07/2024-10-13,0.86075,0.84011,87.02460850111918,-0.029044437990121692,2.427063122686317,BEARISH_WEEKLY_STRUCTURE,0.025566531086577336,-0.34282393957001833,-0.4753050552004693
